group,任务大小,任务数,runtime,method,每任务时间(μs）,60帧千任务数,totalTime(ms),normalized time(μs)
large,65536,65536,MonoJIT,ParallelFor,39.48959351,0.42205212,2587.99,39.48959351
large,65536,65536,Burst,ParallelFor,6.541748047,2.547739006,428.72,6.541748047
large,65536,65536,MonoJIT,IJob,39.34936523,0.423556176,2578.8,39.34936523
large,65536,65536,Burst,IJob,6.665496826,2.500438767,436.83,6.665496826
large,65536,65536,CoreCLR,Parallel,6.744384766,2.471191554,442,6.744384766
large,65536,65536,CoreCLR,Task Thread,6.958007813,2.395321637,456,6.958007813
large,65536,65536,CoreCLR,Task async,7.858276367,2.120906149,515,7.858276367
large,65536,65536,NativeAOT,Parallel,6.481170654,2.571551893,424.75,6.481170654
large,65536,65536,NativeAOT,Task Thread,6.591796875,2.528395062,432,6.591796875
large,65536,65536,NativeAOT,Task async,7.570266724,2.2015957,496.125,7.570266724
large,65536,65536,NativeCPP,std::par_unseq,6.683349609,2.493759513,438,6.683349609
middle,4096,65536,MonoJIT,ParallelFor,2.475128174,6.733658015,162.21,39.60205078
middle,4096,65536,Burst,ParallelFor,0.406646729,40.98561601,26.65,6.506347656
middle,4096,65536,MonoJIT,IJob,2.801971436,5.948192924,183.63,44.83154297
middle,4096,65536,Burst,IJob,0.569152832,29.28328865,37.3,9.106445313
middle,4096,65536,CoreCLR,Parallel,0.604629517,27.56508938,39.625,9.674072266
middle,4096,65536,CoreCLR,Task Thread,0.720977783,23.11675485,47.25,11.53564453
middle,4096,65536,CoreCLR,Task async,0.783920288,21.26066504,51.375,12.54272461
middle,4096,65536,NativeAOT,Parallel,0.417709351,39.90015221,27.375,6.683349609
middle,4096,65536,NativeAOT,Task Thread,0.499725342,33.35165394,32.75,7.995605469
middle,4096,65536,NativeAOT,Task async,0.577926636,28.83872387,37.875,9.246826172
middle,4096,65536,NativeCPP,std::par_unseq,0.425109863,39.20555157,27.86,6.801757813
small,128,65536,MonoJIT,ParallelFor,0.081634521,204.1619938,5.35,41.796875
small,128,65536,Burst,ParallelFor,0.014038086,1187.246377,0.92,7.1875
small,128,65536,MonoJIT,IJob,0.632324219,26.35778636,41.44,323.75
small,128,65536,Burst,IJob,0.657958984,25.33085962,43.12,336.875
small,128,65536,CoreCLR,Parallel,0.053405762,312.0761905,3.5,27.34375
small,128,65536,CoreCLR,Task Thread,0.373840332,44.58231293,24.5,191.40625
small,128,65536,CoreCLR,Task async,0.282287598,59.04144144,18.5,144.53125
small,128,65536,CoreCLR,ParallelAutoChunk,0.017166138,970.9037037,1.125,8.7890625
small,128,65536,CoreCLR,ParallelInline,0.01335144,1248.304762,0.875,6.8359375
small,128,65536,NativeAOT,Parallel,0.057220459,291.2711111,3.75,29.296875
small,128,65536,NativeAOT,Task Thread,0.186920166,89.16462585,12.25,95.703125
small,128,65536,NativeAOT,Task async,0.152587891,109.2266667,10,78.125
small,128,65536,NativeAOT,ParallelAutoChunk,0.003814697,4369.066667,0.25,1.953125
small,128,65536,NativeAOT,ParallelInline,0.009536743,1747.626667,0.625,4.8828125
small,128,65536,NativeCPP,std::par_unseq,0.040344238,413.1114473,2.644,20.65625
